net,length_um
_1111_,8.4µm
_1184_,8.39µm
_0243_,8.32µm
_0794_,8.32µm
_1271_,8.32µm
_0129_,8.28µm
_0922_,8.28µm
net640,8.28µm
_0207_,8.24µm
_0372_,8.24µm
_0798_,8.23µm
net523,8.22µm
_0633_,8.2µm
_0778_,8.2µm
_0780_,8.2µm
_0977_,8.2µm
_1246_,8.14µm
_0199_,8.12µm
_0257_,8.12µm
_1007_,8.08µm
_1069_,8.08µm
_0911_,8.06µm
net341,8.04µm
net569,8.02µm
_0122_,8µm
net350,7.99µm
_0089_,7.98µm
_1077_,7.94µm
_1160_,7.94µm
_0108_,7.88µm
_0772_,7.875µm
_0248_,7.86µm
_0254_,7.86µm
_0361_,7.855µm
_0992_,7.84µm
r3_prod_mant\[2\],7.84µm
_0190_,7.78µm
_0671_,7.78µm
_0956_,7.78µm
_1176_,7.78µm
_0170_,7.74µm
_0284_,7.74µm
_0362_,7.74µm
_1083_,7.74µm
_1136_,7.74µm
_0659_,7.7µm
_0628_,7.66µm
_1079_,7.66µm
_0203_,7.64µm
_0864_,7.64µm
acc_out[10],7.61µm
acc_out[5],7.61µm
_0241_,7.6µm
_0709_,7.6µm
_0935_,7.6µm
_1265_,7.6µm
_0591_,7.56µm
_0743_,7.52µm
_1117_,7.52µm
_1225_,7.52µm
_1241_,7.5µm
_0607_,7.48µm
_0624_,7.48µm
_0783_,7.48µm
_0785_,7.48µm
_1053_,7.48µm
net377,7.48µm
net440,7.48µm
_0602_,7.44µm
_0806_,7.42µm
_0397_,7.4µm
_0478_,7.4µm
_0719_,7.4µm
_0009_,7.385µm
_0191_,7.38µm
_0541_,7.38µm
_0457_,7.345µm
_0220_,7.32µm
_0100_,7.28µm
_0263_,7.28µm
_0690_,7.28µm
_0811_,7.28µm
_0845_,7.28µm
_1037_,7.28µm
_1093_,7.28µm
_1281_,7.28µm
_1284_,7.28µm
_0232_,7.24µm
_0556_,7.24µm
_0617_,7.24µm
_1035_,7.24µm
_1302_,7.24µm
net623,7.24µm
_1054_,7.22µm
_0692_,7.2µm
_0902_,7.2µm
r3_prod_mant\[0\],7.2µm
_0017_,7.185µm
_0267_,7.18µm
_0405_,7.18µm
_0813_,7.18µm
_0847_,7.18µm
_0867_,7.16µm
_0376_,7.14µm
_0915_,7.14µm
_1043_,7.12µm
_0131_,7.1µm
_0756_,7.1µm
_1123_,7.1µm
_0162_,7.08µm
_0348_,7.08µm
_1173_,7.08µm
_0844_,7.04µm
net593,6.985µm
_0192_,6.98µm
_0337_,6.98µm
_0099_,6.94µm
_0167_,6.94µm
_0235_,6.94µm
_0265_,6.94µm
_0421_,6.94µm
_0448_,6.94µm
_0540_,6.94µm
_0812_,6.94µm
_0817_,6.94µm
_1010_,6.91µm
net531,6.9µm
_0994_,6.86µm
net559,6.86µm
_0740_,6.84µm
net246,6.82µm
_0182_,6.82µm
_1041_,6.82µm
_1068_,6.82µm
_1141_,6.82µm
_1190_,6.82µm
_1243_,6.82µm
_0223_,6.74µm
_0741_,6.74µm
_0226_,6.72µm
_0455_,6.72µm
_0523_,6.72µm
_0903_,6.72µm
_1197_,6.72µm
_1130_,6.7µm
net650,6.7µm
_1089_,6.66µm
net534,6.645µm
_0696_,6.64µm
_0831_,6.64µm
_0842_,6.64µm
_0154_,6.6µm
_0211_,6.6µm
_0237_,6.6µm
_0394_,6.6µm
_0682_,6.6µm
_1273_,6.6µm
net,6.6µm
net421,6.525µm
_0159_,6.52µm
_1283_,6.52µm
_1024_,6.5µm
_0057_,6.48µm
_0083_,6.48µm
_0141_,6.48µm
_0240_,6.48µm
_0271_,6.48µm
_0718_,6.48µm
_1210_,6.48µm
_0866_,6.4µm
_0907_,6.4µm
_1096_,6.4µm
_0056_,6.37µm
_0681_,6.36µm
_0723_,6.36µm
_1011_,6.36µm
_1143_,6.36µm
_1209_,6.36µm
_1232_,6.36µm
_1134_,6.34µm
net677,6.32µm
_0942_,6.3µm
net621,6.3µm
_0761_,6.28µm
_0007_,6.26µm
_0082_,6.26µm
_0695_,6.26µm
_0863_,6.26µm
_0963_,6.26µm
net422,6.26µm
_0910_,6.24µm
_0924_,6.24µm
_1149_,6.215µm
_0334_,6.2µm
_0294_,6.18µm
_0555_,6.18µm
_1061_,6.18µm
_0125_,6.16µm
_0369_,6.16µm
_0905_,6.16µm
_0208_,6.14µm
