Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_85_621,VPWR,li1,291.4100,242.0800,1.599470
FILLER_85_590,VPWR,li1,277.6100,242.0800,1.599427
FILLER_85_587,VPWR,li1,276.2300,242.0800,1.599420
FILLER_85_567,VPWR,li1,266.8000,242.0800,1.599400
FILLER_85_564,VPWR,li1,265.6500,242.0800,1.599400
FILLER_85_561,VPWR,li1,264.2700,242.0800,1.599397
FILLER_85_530,VPWR,li1,249.7800,242.0800,1.599395
FILLER_85_519,VPWR,li1,244.4900,242.0800,1.599399
FILLER_85_503,VPWR,li1,237.1300,242.0800,1.599410
FILLER_85_468,VPWR,li1,221.2600,242.0800,1.599454
FILLER_85_426,VPWR,li1,201.7100,242.0800,1.599524
FILLER_85_399,VPWR,li1,189.7500,242.0800,1.599588
FILLER_85_385,VPWR,li1,183.0800,242.0800,1.599627
FILLER_85_376,VPWR,li1,178.7100,242.0800,1.599645
FILLER_85_343,VPWR,li1,163.5300,242.0800,1.599589
FILLER_85_319,VPWR,li1,152.4900,242.0800,1.599511
FILLER_85_301,VPWR,li1,144.2100,242.0800,1.599459
FILLER_85_278,VPWR,li1,133.8600,242.0800,1.599422
FILLER_85_225,VPWR,li1,109.4800,242.0800,1.599433
FILLER_85_165,VPWR,li1,82.1100,242.0800,1.599526
FILLER_85_154,VPWR,li1,76.8200,242.0800,1.599547
FILLER_85_129,VPWR,li1,65.0900,242.0800,1.599610
FILLER_85_113,VPWR,li1,58.1900,242.0800,1.599638
FILLER_85_43,VPWR,li1,25.5300,242.0800,1.599827
FILLER_85_21,VPWR,li1,15.4100,242.0800,1.599849
FILLER_85_7,VPWR,li1,8.9700,242.0800,1.599849
FILLER_84_840,VPWR,li1,392.3800,242.0800,1.599511
FILLER_84_810,VPWR,li1,378.5800,242.0800,1.599523
FILLER_84_804,VPWR,li1,375.8200,242.0800,1.599532
FILLER_84_783,VPWR,li1,365.9300,242.0800,1.599553
FILLER_84_753,VPWR,li1,352.5900,242.0800,1.599599
FILLER_84_750,VPWR,li1,351.2100,242.0800,1.599606
FILLER_84_747,VPWR,li1,349.8300,242.0800,1.599606
FILLER_84_744,VPWR,li1,348.4500,242.0800,1.599613
FILLER_84_741,VPWR,li1,347.0700,242.0800,1.599622
FILLER_84_738,VPWR,li1,345.6900,242.0800,1.599622
FILLER_84_718,VPWR,li1,336.2600,242.0800,1.599662
FILLER_84_712,VPWR,li1,333.5000,242.0800,1.599676
FILLER_84_707,VPWR,li1,331.2000,242.0800,1.599687
FILLER_84_704,VPWR,li1,330.0500,242.0800,1.599699
FILLER_84_695,VPWR,li1,325.4500,242.0800,1.599661
FILLER_84_653,VPWR,li1,306.1300,242.0800,1.599546
FILLER_84_645,VPWR,li1,302.4500,242.0800,1.599518
FILLER_84_641,VPWR,li1,301.0700,242.0800,1.599518
FILLER_84_606,VPWR,li1,284.9700,242.0800,1.599450
FILLER_84_533,VPWR,li1,250.9300,242.0800,1.599395
FILLER_84_518,VPWR,li1,244.0300,242.0800,1.599401
FILLER_84_510,VPWR,li1,240.8100,242.0800,1.599406
FILLER_84_489,VPWR,li1,231.1500,242.0800,1.599427
FILLER_84_474,VPWR,li1,224.0200,242.0800,1.599442
FILLER_84_463,VPWR,li1,218.9600,242.0800,1.599461
FILLER_84_447,VPWR,li1,211.3700,242.0800,1.599487
FILLER_84_421,VPWR,li1,199.8700,242.0800,1.599535
FILLER_84_415,VPWR,li1,196.6500,242.0800,1.599546
FILLER_84_386,VPWR,li1,183.5400,242.0800,1.599616
FILLER_84_369,VPWR,li1,175.4900,242.0800,1.599672
FILLER_84_363,VPWR,li1,172.7300,242.0800,1.599656
FILLER_84_345,VPWR,li1,164.4500,242.0800,1.599589
FILLER_84_309,VPWR,li1,148.1200,242.0800,1.599478
FILLER_84_197,VPWR,li1,96.6000,242.0800,1.599469
FILLER_84_187,VPWR,li1,92.0000,242.0800,1.599482
FILLER_84_164,VPWR,li1,81.4200,242.0800,1.599526
FILLER_84_125,VPWR,li1,63.4800,242.0800,1.599610
FILLER_84_110,VPWR,li1,56.3500,242.0800,1.599648
FILLER_84_96,VPWR,li1,50.1400,242.0800,1.599691
FILLER_84_85,VPWR,li1,45.0800,242.0800,1.599716
FILLER_84_72,VPWR,li1,39.1000,242.0800,1.599753
FILLER_84_50,VPWR,li1,28.9800,242.0800,1.599809
FILLER_84_25,VPWR,li1,17.7100,242.0800,1.599849
FILLER_84_5,VPWR,li1,8.5100,242.0800,1.599849
FILLER_83_841,VPWR,li1,392.6100,236.6400,1.599495
FILLER_83_814,VPWR,li1,380.1900,236.6400,1.599502
FILLER_83_776,VPWR,li1,362.7100,236.6400,1.599530
FILLER_83_767,VPWR,li1,358.8000,236.6400,1.599544
FILLER_83_671,VPWR,li1,314.4100,236.6400,1.599585
FILLER_83_617,VPWR,li1,289.8000,236.6400,1.599489
FILLER_83_609,VPWR,li1,286.1200,236.6400,1.599477
FILLER_83_595,VPWR,li1,279.9100,236.6400,1.599468
FILLER_83_561,VPWR,li1,264.2700,236.6400,1.599449
FILLER_83_558,VPWR,li1,262.6600,236.6400,1.599448
FILLER_83_555,VPWR,li1,261.5100,236.6400,1.599448
FILLER_83_548,VPWR,li1,258.2900,236.6400,1.599445
FILLER_83_541,VPWR,li1,254.6100,236.6400,1.599442
FILLER_83_538,VPWR,li1,253.6900,236.6400,1.599442
FILLER_83_530,VPWR,li1,249.5500,236.6400,1.599440
FILLER_83_501,VPWR,li1,236.6700,236.6400,1.599445
FILLER_83_431,VPWR,li1,204.2400,236.6400,1.599544
FILLER_83_421,VPWR,li1,199.6400,236.6400,1.599565
FILLER_83_410,VPWR,li1,194.5800,236.6400,1.599591
FILLER_83_393,VPWR,li1,186.9900,236.6400,1.599644
FILLER_83_369,VPWR,li1,175.7200,236.6400,1.599742
FILLER_83_350,VPWR,li1,166.9800,236.6400,1.599716
FILLER_83_291,VPWR,li1,139.6100,236.6400,1.599650
FILLER_83_225,VPWR,li1,109.4800,236.6400,1.599653
FILLER_83_223,VPWR,li1,108.3300,236.6400,1.599653
FILLER_83_196,VPWR,li1,95.9100,236.6400,1.599670
FILLER_83_173,VPWR,li1,85.5600,236.6400,1.599691
FILLER_83_167,VPWR,li1,82.5700,236.6400,1.599701
FILLER_83_159,VPWR,li1,79.3500,236.6400,1.599709
