net,length_um
_17627_,331.96µm
net849,331.69µm
_12714_,331.16µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[5\],331.125µm
net910,331.06µm
_18098_,330.56µm
_05807_,328.695µm
net678,328.45µm
net831,328.11µm
_18335_,328.105µm
net709,327.32µm
net663,327.12µm
systolic_arrays\[1\].systolic_array_inst.b_reg\[4\],326.47µm
net652,325.475µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[4\],325.305µm
net692,324.83µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[13\],324.665µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[4\],324.455µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[8\],323.76µm
_10196_,323.51µm
net1198,322.99µm
_16395_,322.94µm
_17786_,322.78µm
net636,321.61µm
net912,321.385µm
net978,320.47µm
_05816_,319.945µm
net650,319.77µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[6\],317.715µm
net1024,317.22µm
systolic_arrays\[0\].systolic_array_inst.g_row\[0\].g_col\[1\].pe.r2_mantissa\[7\],316.62µm
_18126_,315.36µm
pipe_systolic_op\[0\],315.26µm
alu_out\[1\]\[4\],315.085µm
net979,314.885µm
pipe_rd_data\[3\]\[0\],314.8µm
net816,314.13µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[1\],313.535µm
_18285_,313.46µm
_16125_,313.32µm
net833,313.12µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[8\],313.05µm
net1013,312.94µm
net667,312.31µm
net700,311.995µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[13\],311.885µm
_17630_,311.24µm
_17624_,311.06µm
net1197,310.44µm
net1397,309.73µm
net635,309.2µm
_16640_,308.685µm
_03472_,308.365µm
_00551_,307.455µm
net1393,307.43µm
net527,307.3µm
_17953_,306.88µm
alu_out\[1\]\[1\],306.45µm
net407,304.98µm
net408,304.155µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[7\],304.005µm
net736,303.94µm
net1086,303.44µm
_10844_,302.995µm
_00560_,302.77µm
net829,302.68µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[8\],302.605µm
_17958_,302.59µm
net983,302.37µm
_18135_,302.3µm
net985,301.875µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[11\],301.815µm
net1029,301.34µm
alu_out\[1\]\[3\],301.28µm
net828,301.18µm
net507,301.155µm
_17626_,300.7µm
net634,300.56µm
_16758_,300.2µm
net735,299.68µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[9\],298.975µm
_00901_,298.545µm
_18443_,298.15µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[3\],297.4µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r4_acc\[13\],296.99µm
_17632_,296.78µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r4_acc\[10\],296.36µm
_08577_,295.92µm
net836,295.45µm
clknet_6_63_0_clk,295.32µm
_18206_,294.36µm
net984,293.895µm
net676,293.69µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[10\],293.18µm
_17621_,292.85µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[10\],291.96µm
net824,291.62µm
_16500_,291.34µm
_17618_,290.57µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[14\],290.53µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[9\],290.425µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r4_acc\[11\],290.28µm
_18583_,290.08µm
alu_out\[1\]\[0\],289.885µm
_00546_,289.845µm
net1030,288.99µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[9\],288.92µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[2\],288.82µm
net648,288.6µm
net1035,287.835µm
